# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3099645	3100376	+							EMQ_RS14270	732		old_locus_tag=EMQ_2854
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3099645	3100376	+	WP_010666735.1	WP_010666735.1		SDR family oxidoreductase			EMQ_RS14270	732	243	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3100657	3101664	+							EMQ_RS14275	1008		old_locus_tag=EMQ_2855
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3100657	3101664	+	WP_010666734.1	WP_010666734.1		tetratricopeptide repeat protein			EMQ_RS14275	1008	335	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3101671	3102387	+							EMQ_RS14280	717		old_locus_tag=EMQ_2856
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3101671	3102387	+	WP_010666733.1	WP_010666733.1		LON peptidase substrate-binding domain-containing protein			EMQ_RS14280	717	238	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3102416	3102604	+							EMQ_RS14285	189		old_locus_tag=EMQ_2857
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3102416	3102604	+	WP_010666732.1	WP_010666732.1		Trm112 family protein			EMQ_RS14285	189	62	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3102671	3102979	+							EMQ_RS14290	309		old_locus_tag=EMQ_2858
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3102671	3102979	+	WP_010666731.1	WP_010666731.1		hypothetical protein			EMQ_RS14290	309	102	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3103085	3104623	+					hpnR		EMQ_RS14295	1539		old_locus_tag=EMQ_2859
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3103085	3104623	+	WP_010666730.1	WP_010666730.1		hopanoid C-3 methylase HpnR	hpnR		EMQ_RS14295	1539	512	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3104980	3106488	+							EMQ_RS14300	1509		old_locus_tag=EMQ_2860
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3104980	3106488	+	WP_158306044.1	WP_158306044.1		exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase			EMQ_RS14300	1509	502	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3106478	3107293	+							EMQ_RS14305	816		old_locus_tag=EMQ_2861
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3106478	3107293	+	WP_010665950.1	WP_010665950.1		WecB/TagA/CpsF family glycosyltransferase			EMQ_RS14305	816	271	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3107350	3109557	+							EMQ_RS14310	2208		old_locus_tag=EMQ_2862
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3107350	3109557	+	WP_231367914.1	WP_231367914.1		polysaccharide biosynthesis tyrosine autokinase			EMQ_RS14310	2208	735	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3109571	3110704	+							EMQ_RS14315	1134		old_locus_tag=EMQ_2863
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3109571	3110704	+	WP_026199994.1	WP_026199994.1		glycosyltransferase family 4 protein			EMQ_RS14315	1134	377	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3110707	3112071	+							EMQ_RS14320	1365		old_locus_tag=EMQ_2864
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3110707	3112071	+	WP_081617489.1	WP_081617489.1		outer membrane beta-barrel protein			EMQ_RS14320	1365	454	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3112134	3112709	+							EMQ_RS14325	576		
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3112134	3112709	+	WP_031941639.1	WP_031941639.1		polysaccharide export protein			EMQ_RS14325	576	191	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3113968	3114279	-							EMQ_RS14330	312		old_locus_tag=EMQ_2866
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3113968	3114279	-	WP_018307807.1	WP_018307807.1		DUF2312 domain-containing protein			EMQ_RS14330	312	103	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3114676	3116184	+					zwf		EMQ_RS14335	1509		old_locus_tag=EMQ_2867
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3114676	3116184	+	WP_010669061.1	WP_010669061.1		glucose-6-phosphate dehydrogenase	zwf		EMQ_RS14335	1509	502	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3116184	3116651	+							EMQ_RS14340	468		old_locus_tag=EMQ_2868
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3116184	3116651	+	WP_018307806.1	WP_018307806.1		hypothetical protein			EMQ_RS14340	468	155	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3116969	3117370	+							EMQ_RS14345	402		old_locus_tag=EMQ_2869
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3116969	3117370	+	WP_010665791.1	WP_010665791.1		hypothetical protein			EMQ_RS14345	402	133	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3117393	3117920	+							EMQ_RS14350	528		old_locus_tag=EMQ_2870
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3117393	3117920	+	WP_010665792.1	WP_010665792.1		histidine phosphatase family protein			EMQ_RS14350	528	175	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3118020	3118805	-					cobS		EMQ_RS14355	786		old_locus_tag=EMQ_2871
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3118020	3118805	-	WP_010665793.1	WP_010665793.1		adenosylcobinamide-GDP ribazoletransferase	cobS		EMQ_RS14355	786	261	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3118795	3119811	-					cobT		EMQ_RS14360	1017		old_locus_tag=EMQ_2872
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3118795	3119811	-	WP_010665794.1	WP_010665794.1		nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT		EMQ_RS14360	1017	338	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3119847	3120368	+					cobU		EMQ_RS14365	522		old_locus_tag=EMQ_2873
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3119847	3120368	+	WP_010665795.1	WP_010665795.1		bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	cobU		EMQ_RS14365	522	173	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3120570	3122183	+							EMQ_RS14370	1614		old_locus_tag=EMQ_2875
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3120570	3122183	+	WP_035347742.1	WP_035347742.1		ISL3 family transposase			EMQ_RS14370	1614	537	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3122522	3124084	+							EMQ_RS14375	1563		old_locus_tag=EMQ_2876
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3122522	3124084	+	WP_010668320.1	WP_010668320.1		carbohydrate porin			EMQ_RS14375	1563	520	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3124272	3124862	+							EMQ_RS14380	591		old_locus_tag=EMQ_2877
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3124272	3124862	+	WP_010668319.1	WP_010668319.1		sigma-70 family RNA polymerase sigma factor			EMQ_RS14380	591	196	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3124982	3125155	+							EMQ_RS14385	174		old_locus_tag=EMQ_2878
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3124982	3125155	+	WP_010668318.1	WP_010668318.1		hypothetical protein			EMQ_RS14385	174	57	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3125303	3127111	+							EMQ_RS14390	1809		old_locus_tag=EMQ_2879
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3125303	3127111	+	WP_018307804.1	WP_018307804.1		sensor histidine kinase			EMQ_RS14390	1809	602	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3127163	3128899	+					cydD		EMQ_RS14395	1737		old_locus_tag=EMQ_2880
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3127163	3128899	+	WP_018307803.1	WP_018307803.1		thiol reductant ABC exporter subunit CydD	cydD		EMQ_RS14395	1737	578	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3128943	3130634	+					cydC		EMQ_RS14400	1692		old_locus_tag=EMQ_2881
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3128943	3130634	+	WP_010666714.1	WP_010666714.1		thiol reductant ABC exporter subunit CydC	cydC		EMQ_RS14400	1692	563	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3130774	3131151	+							EMQ_RS14405	378		old_locus_tag=EMQ_2882
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3130774	3131151	+	WP_010666713.1	WP_010666713.1		OmpA family protein			EMQ_RS14405	378	125	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3131259	3133073	+					recQ		EMQ_RS14410	1815		old_locus_tag=EMQ_2883
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3131259	3133073	+	WP_231368037.1	WP_231368037.1		DNA helicase RecQ	recQ		EMQ_RS14410	1815	604	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3133070	3133900	+							EMQ_RS14415	831		old_locus_tag=EMQ_2884
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3133070	3133900	+	WP_010666711.1	WP_010666711.1		DeoR family transcriptional regulator			EMQ_RS14415	831	276	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3134037	3135554	+					glpD		EMQ_RS14420	1518		old_locus_tag=EMQ_2885
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3134037	3135554	+	WP_026199990.1	WP_026199990.1		glycerol-3-phosphate dehydrogenase	glpD		EMQ_RS14420	1518	505	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3135571	3136392	+							EMQ_RS14425	822		old_locus_tag=EMQ_2886
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3135571	3136392	+	WP_010666709.1	WP_010666709.1		aquaporin family protein			EMQ_RS14425	822	273	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3136412	3137902	+					glpK		EMQ_RS14430	1491		old_locus_tag=EMQ_2887
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3136412	3137902	+	WP_018307801.1	WP_018307801.1		glycerol kinase GlpK	glpK		EMQ_RS14430	1491	496	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3138307	3139269	-							EMQ_RS14435	963		old_locus_tag=EMQ_2888
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3138307	3139269	-	WP_010666286.1	WP_010666286.1		sulfite exporter TauE/SafE family protein			EMQ_RS14435	963	320	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3139527	3140693	-							EMQ_RS14440	1167		old_locus_tag=EMQ_2889
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3139527	3140693	-	WP_010666285.1	WP_010666285.1		glycosyltransferase			EMQ_RS14440	1167	388	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3140696	3141919	-							EMQ_RS14445	1224		old_locus_tag=EMQ_2890
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3140696	3141919	-	WP_018307800.1	WP_018307800.1		glycosyltransferase family 1 protein			EMQ_RS14445	1224	407	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3142340	3143203	+							EMQ_RS14450	864		old_locus_tag=EMQ_2891
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3142340	3143203	+	WP_132012080.1	WP_132012080.1		hypothetical protein			EMQ_RS14450	864	287	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3143118	3144230	-							EMQ_RS14455	1113		old_locus_tag=EMQ_2892
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3143118	3144230	-	WP_010666602.1	WP_010666602.1		glycosyltransferase family 4 protein			EMQ_RS14455	1113	370	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3144227	3145513	-							EMQ_RS14460	1287		old_locus_tag=EMQ_2893
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3144227	3145513	-	WP_010666601.1	WP_010666601.1		glycosyltransferase			EMQ_RS14460	1287	428	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3145522	3146895	-							EMQ_RS14465	1374		old_locus_tag=EMQ_2894
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3145522	3146895	-	WP_010666600.1	WP_010666600.1		HAMP domain-containing histidine kinase			EMQ_RS14465	1374	457	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3146902	3147624	-							EMQ_RS14470	723		old_locus_tag=EMQ_2896
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3146902	3147624	-	WP_231367913.1	WP_231367913.1		response regulator transcription factor			EMQ_RS14470	723	240	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3147802	3148518	+					lptB		EMQ_RS14475	717		old_locus_tag=EMQ_2897
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3147802	3148518	+	WP_010666598.1	WP_010666598.1		LPS export ABC transporter ATP-binding protein	lptB		EMQ_RS14475	717	238	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3148536	3149696	+							EMQ_RS14480	1161		old_locus_tag=EMQ_2898
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3148536	3149696	+	WP_132012081.1	WP_132012081.1		LptF/LptG family permease			EMQ_RS14480	1161	386	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3149701	3150855	+							EMQ_RS14485	1155		old_locus_tag=EMQ_2899
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3149701	3150855	+	WP_010665698.1	WP_010665698.1		LptF/LptG family permease			EMQ_RS14485	1155	384	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3151346	3152719	-							EMQ_RS14490	1374		old_locus_tag=EMQ_2901
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3151346	3152719	-	WP_231367912.1	WP_231367912.1		amino acid permease			EMQ_RS14490	1374	457	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3152716	3153594	-					tauD		EMQ_RS14495	879		old_locus_tag=EMQ_2902
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3152716	3153594	-	WP_031941397.1	WP_031941397.1		taurine dioxygenase	tauD		EMQ_RS14495	879	292	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3153984	3156422	+							EMQ_RS14500	2439		old_locus_tag=EMQ_2903
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3153984	3156422	+	WP_010667601.1	WP_010667601.1		TonB-dependent receptor			EMQ_RS14500	2439	812	
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3156566	3157642	+							EMQ_RS14505	1077		pseudo
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3156566	3157642	+				IS5 family transposase			EMQ_RS14505	1077		pseudo
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3157936	3158913	-							EMQ_RS14510	978		old_locus_tag=EMQ_2905
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3157936	3158913	-	WP_081470937.1	WP_081470937.1		aliphatic sulfonate ABC transporter substrate-binding protein			EMQ_RS14510	978	325	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3158949	3159326	-							EMQ_RS14515	378		old_locus_tag=EMQ_2906
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3158949	3159326	-	WP_010666364.1	WP_010666364.1		ferredoxin family protein			EMQ_RS14515	378	125	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3159323	3160906	-							EMQ_RS14520	1584		old_locus_tag=EMQ_2907
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3159323	3160906	-	WP_010666363.1	WP_010666363.1		FAD-binding protein			EMQ_RS14520	1584	527	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3160930	3163134	-							EMQ_RS14525	2205		old_locus_tag=EMQ_2908
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3160930	3163134	-	WP_018307794.1	WP_018307794.1		TonB-dependent receptor			EMQ_RS14525	2205	734	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3163213	3164508	-							EMQ_RS14530	1296		old_locus_tag=EMQ_2909
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3163213	3164508	-	WP_018307793.1	WP_018307793.1		NtaA/DmoA family FMN-dependent monooxygenase			EMQ_RS14530	1296	431	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3164714	3166069	+							EMQ_RS14535	1356		old_locus_tag=EMQ_2910
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3164714	3166069	+	WP_010668510.1	WP_010668510.1		LLM class flavin-dependent oxidoreductase			EMQ_RS14535	1356	451	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3166097	3167428	+							EMQ_RS14540	1332		old_locus_tag=EMQ_2911
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3166097	3167428	+	WP_010668511.1	WP_010668511.1		LLM class flavin-dependent oxidoreductase			EMQ_RS14540	1332	443	
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3167503	3168235	+							EMQ_RS14545	733		pseudo
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3167503	3168235	+				IS5 family transposase			EMQ_RS14545	733		pseudo
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3168296	3168610	-							EMQ_RS14550	315		old_locus_tag=EMQ_2913
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3168296	3168610	-	WP_010666527.1	WP_010666527.1		hypothetical protein			EMQ_RS14550	315	104	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3168940	3169643	+							EMQ_RS14555	704		
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3168940	3169643	+	WP_132012082.1	WP_132012082.1		IS5 family transposase			EMQ_RS14555	705	234	ribosomal_slippage
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3169804	3170085	+							EMQ_RS17270	282		partial;pseudo
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3169804	3170085	+				transposase			EMQ_RS17270	282		partial;pseudo
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3170330	3170830	-							EMQ_RS14565	501		old_locus_tag=EMQ_2917
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3170330	3170830	-	WP_010668653.1	WP_010668653.1		CBS domain-containing protein			EMQ_RS14565	501	166	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3170876	3172336	-							EMQ_RS14570	1461		old_locus_tag=EMQ_2918
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3170876	3172336	-	WP_010668654.1	WP_010668654.1		NADH-quinone oxidoreductase subunit N			EMQ_RS14570	1461	486	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3172333	3173844	-							EMQ_RS14575	1512		old_locus_tag=EMQ_2919
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3172333	3173844	-	WP_010668655.1	WP_010668655.1		NADH-quinone oxidoreductase subunit M			EMQ_RS14575	1512	503	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3173841	3175808	-					nuoL		EMQ_RS14580	1968		old_locus_tag=EMQ_2920
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3173841	3175808	-	WP_010668656.1	WP_010668656.1		NADH-quinone oxidoreductase subunit L	nuoL		EMQ_RS14580	1968	655	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3175814	3176125	-					nuoK		EMQ_RS14585	312		old_locus_tag=EMQ_2921
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3175814	3176125	-	WP_010668657.1	WP_010668657.1		NADH-quinone oxidoreductase subunit NuoK	nuoK		EMQ_RS14585	312	103	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3176127	3176627	-					nuoJ		EMQ_RS14590	501		old_locus_tag=EMQ_2922
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3176127	3176627	-	WP_018307788.1	WP_018307788.1		NADH-quinone oxidoreductase subunit J	nuoJ		EMQ_RS14590	501	166	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3176633	3177145	-					nuoI		EMQ_RS14595	513		old_locus_tag=EMQ_2923
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3176633	3177145	-	WP_010667880.1	WP_010667880.1		NADH-quinone oxidoreductase subunit NuoI	nuoI		EMQ_RS14595	513	170	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3177171	3178127	-					nuoH		EMQ_RS14600	957		old_locus_tag=EMQ_2924
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3177171	3178127	-	WP_010667879.1	WP_010667879.1		NADH-quinone oxidoreductase subunit NuoH	nuoH		EMQ_RS14600	957	318	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3178124	3180859	-					nuoG		EMQ_RS14605	2736		old_locus_tag=EMQ_2925
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3178124	3180859	-	WP_010667878.1	WP_010667878.1		NADH-quinone oxidoreductase subunit NuoG	nuoG		EMQ_RS14605	2736	911	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3180856	3182160	-					nuoF		EMQ_RS14610	1305		old_locus_tag=EMQ_2926
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3180856	3182160	-	WP_010667877.1	WP_010667877.1		NADH-quinone oxidoreductase subunit NuoF	nuoF		EMQ_RS14610	1305	434	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3182157	3182648	-					nuoE		EMQ_RS14615	492		old_locus_tag=EMQ_2927
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3182157	3182648	-	WP_010667876.1	WP_010667876.1		NADH-quinone oxidoreductase subunit NuoE	nuoE		EMQ_RS14615	492	163	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3182635	3184395	-					nuoC		EMQ_RS14620	1761		old_locus_tag=EMQ_2928
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3182635	3184395	-	WP_010667875.1	WP_010667875.1		NADH-quinone oxidoreductase subunit C/D	nuoC		EMQ_RS14620	1761	586	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3184401	3185036	-							EMQ_RS14625	636		old_locus_tag=EMQ_2929
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3184401	3185036	-	WP_010667874.1	WP_010667874.1		NADH-quinone oxidoreductase subunit B			EMQ_RS14625	636	211	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3185033	3185458	-					ndhC		EMQ_RS14630	426		old_locus_tag=EMQ_2930
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3185033	3185458	-	WP_010667873.1	WP_010667873.1		NADH-quinone oxidoreductase subunit A	ndhC		EMQ_RS14630	426	141	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3186283	3186843	-							EMQ_RS14635	561		old_locus_tag=EMQ_2931
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3186283	3186843	-	WP_010667871.1	WP_010667871.1		phosphate-starvation-inducible PsiE family protein			EMQ_RS14635	561	186	
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3187024	3187777	-							EMQ_RS14640	754		pseudo
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	3187024	3187777	-				IS5 family transposase			EMQ_RS14640	754		pseudo
